tic,event_type,activity_type,uid,evtdate,evttime,ret,abret,aabret,market_value,Estimation Window,ir
OCLR,Product Launch ,Commercialization,90354-25JAN2010,2010-01-25,0,-0.033333302,-0.031806452,0.004778678,1420,2009-11-02 to 2010-01-15,0.11
WAT,Product Launch ,Commercialization,82651-25JAN2010,2010-01-25,0,0.004220122,0.020690295,-0.001493171,17562,2009-11-02 to 2010-01-15,0.11
AAPL,Product Launch ,Commercialization,14593-27JAN2010,2010-01-27,0,0.014108116,0.017255485,-0.003089981,259906.4875,2009-11-04 to 2010-01-19,0.11
OCLR,Product Launch ,Commercialization,90354-27JAN2010,2010-01-27,0,0.028089928,0.024832925,-0.005338419,1420,2009-11-04 to 2010-01-19,0.13
PMTC,Acquisition,Developmental,75912-08FEB2010,2010-02-08,0,0.007990114,0.004774351,0.000012008,0,2009-11-16 to 2010-01-29,0.13
INFA,Preaanouncement,Initiation ,86830-09FEB2010,2010-02-09,0,-0.007381679,0.001776464,-0.001743132,10383.9,2009-11-17 to 2010-02-01,0.13
MOVE,Product Launch ,Commercialization,87165-17JUN2010,2010-06-17,0,0.004424775,0.011356659,0.020660769,27.1,2010-03-25 to 2010-06-09,0.18
BCS,Preannouncement ,Initiation ,69761-15JUL2010,2010-07-15,0,0.00525202,0.004127139,-0.010561874,35120000,2010-04-22 to 2010-07-07,0.18
MSFT,Preaanouncement,Initiation ,10107-17AUG2010,2010-08-17,0,0.004098376,0.00721474,0.004124509,199450.68,2010-05-25 to 2010-08-09,0.19
CPHD,Product Launch ,Commercialization,88331-02SEP2010,2010-09-02,0,0.072059855,0.022111748,0.027153569,3880.3,2010-06-10 to 2010-08-25,0.19
RDWR,Product Launch ,Commercialization,87251-27SEP2010,2010-09-27,0,-0.026374822,-0.049518603,-0.048693333,767.4921,2010-07-05 to 2010-09-17,0.19
SAI,Product Launch ,Commercialization,91547-01NOV2010,2010-11-01,0,-0.001926765,0.000424915,0.006836583,18.958,2010-08-09 to 2010-10-22,0.19
EMC,Product Launch ,Commercialization,10147-14DEC2010,2010-12-14,0,0.010786506,0.013348877,0.005649196,0.328,2010-09-21 to 2010-12-06,0.18
OTEX,Product Launch ,Commercialization,82833-18JAN2011,2011-01-18,0,0.022533961,0.018730938,0.014271594,3631.8546,2010-10-26 to 2011-01-10,0.17
